"LSOA11CD","OVERALL_RANK","INCOME_RANK","EMPLOYMENT_RANK","EDUCATION_RANK","HEALTH_RANK","CRIME_RANK","HOUSING_RANK","LIVING_RANK","QUINTILE","DECILE","NORMALISED_RANK"
"E01019433",13077,12724,11869,6816,19177,14619,28976,6959,2,4,0.3981549141395688710266715381804895871392
"E01019438",13268,14082,12329,10126,15545,7377,24640,10176,3,5,0.4039702837656801851175252709779563999513
"E01019451",15866,14771,14270,12506,14885,12400,22815,15350,3,5,0.4830714894653513579344781390817196443795
"E01019464",28928,28366,25636,21396,24648,28575,19742,24284,5,9,0.8807696991840214346608208500791620996225
"E01019434",16445,15796,13881,8488,12447,19772,30220,20308,3,6,0.5007002801120448179271708683473389355742
"E01019435",20231,17662,15415,13868,21022,15686,26707,26227,4,7,0.6159724759469004993301668493484350261844
"E01019436",14166,14376,13091,9176,14115,10150,32042,10863,3,5,0.431311655096821337230544391669711362806
"E01019439",15914,14431,11634,11331,13745,19605,31135,16178,3,5,0.4845329436122274996955303860674704664474
"E01019440",15107,15669,12439,15779,19891,4032,31013,12145,3,5,0.4599622457678723663378394836195347704299
"E01019446",26997,23955,25904,20497,15790,31544,24244,24937,5,9,0.8219766167336499817318231640482279868469
"E01019448",20805,23036,18465,17225,16857,28265,10408,16598,4,7,0.6334490317866276945560833028863719400804
"E01019465",17713,13367,12832,13294,12478,31959,30627,23533,3,6,0.5393070271586895627816343928875898185361
"E01019425",32683,29965,30540,32249,28838,31550,31362,27857,5,10,0.9950980392156862745098039215686274509804
"E01019426",25772,22059,20687,31435,19029,23751,22928,19200,4,8,0.7846790890269151138716356107660455486542
"E01019472",22897,28630,23759,30156,25501,24778,4371,7850,4,7,0.6971440750213128729752770673486786018755
"E01019437",9281,8467,5401,3695,12492,24859,19810,21395,2,3,0.2825782486907806600901230057240287419316
"E01019452",3060,3016,1941,1354,2094,14007,28726,20278,1,1,0.0931677018633540372670807453416149068323
"E01019453",5915,5790,6171,2324,6819,8076,30799,7630,1,2,0.180093776641091219096334185848252344416
"E01031390",18063,16739,16617,11452,16645,21341,15373,21192,3,6,0.5499634636463280964559736938253562294483
"E01031392",17102,25064,26597,24437,23699,19451,339,7413,3,6,0.5207039337474120082815734989648033126294
"E01031465",18573,26322,24945,19297,22355,18681,1330,11129,3,6,0.5654914139568871026671538180489587139204
"E01031387",21143,16548,17802,16439,23318,13939,23046,28981,4,7,0.6437401047375471927901595420777006454756
"E01031425",31006,26850,28913,23911,26714,28415,28570,26985,5,10,0.9440384849592010717330410425039581049811
"E01031393",26951,22389,26031,22964,23895,18437,22885,24163,5,9,0.8205760565095603458774814273535501156985
"E01031394",16066,12752,12934,10593,15563,25548,16077,25343,3,5,0.4891608817440019486055291681890147363293
"E01031396",22697,20948,23873,18145,18721,26451,11432,18984,4,7,0.6910546827426622823042260382413835099257
"E01031397",25109,25643,26315,19822,23583,21503,11483,18169,4,8,0.7644927536231884057971014492753623188406
"E01031430",7669,9049,8129,2425,13058,3743,21397,13355,2,3,0.233497746924856899281451711119230300816
"E01031467",15515,15154,13814,7900,14128,17469,13979,30694,3,5,0.4723846060163195713067835829984167580076
"E01031388",22784,21692,22257,18601,24507,16087,10221,25566,4,7,0.6937035683838752892461332359030568749239
"E01031389",30680,31840,29836,22136,28427,23137,16309,31098,5,10,0.9341127755450006089392278650590671051029
"E01031415",14251,11773,11539,8786,9632,21529,23418,29807,3,5,0.4338996468152478382657410790403117768847
"E01031459",9039,8506,7880,3234,6607,18560,24737,22332,2,3,0.2752100840336134453781512605042016806723
"E01031471",22473,19272,19652,17377,14854,26979,18388,30994,4,7,0.6842345633905736207526488856412130069419
"E01031473",11044,7963,10093,3793,9406,29197,20702,30695,2,4,0.3362562416270856168554378273048349774692
"E01031407",22068,21280,20152,15925,18105,27105,10506,28996,4,7,0.6719035440263061746437705516989404457435
"E01031410",15916,15565,17348,10410,17276,22021,6485,17665,3,5,0.4845938375350140056022408963585434173669
"E01031462",22796,19092,22463,12111,19413,28725,21278,24141,4,7,0.6940689319205943246863962976494945804409
"E01031464",19184,15855,16278,12660,15979,23397,26716,20957,3,6,0.5840945073681646571672147119717452198271
"E01031412",30731,31692,26619,29211,26326,31174,12040,31757,5,10,0.9356655705760565095603458774814273535501
"E01031423",21911,20252,17659,14413,18552,25237,18908,28146,4,7,0.6671233710875654609669954938497137985629
